Well_ID,Well_Name,lat_dec,long_dec
374209113322203, (C-36-15) 4bad- 3,37.70247387,-113.5402397
374228113420101, (C-35-17)36dcc- 1,37.70774989,-113.701078
374248113075201, (C-35-11)31dbd- 1,37.7111111,-113.1291667
374249113090701, (C-35-12)36caa- 1,37.7135873,-113.152729
374250113090601, (C-35-12)36caa- 2,37.71386508,-113.1524513
374252113385801, (C-35-16)33bdc- 2,37.7144169,-113.6502432
374304113052901, (C-35-11)33aac- 1,37.71775428,-113.092172
374319113415201, (C-35-17)25dcd- 1,37.7219162,-113.6985781
374344113322403, (C-35-15)28bdc- 3,37.72886216,-113.5407957
374345113032301, (C-35-11)26acd- 1,37.72916667,-113.0569444
374411113305101, (C-35-15)22dcd- 1,37.73636227,-113.5149618
374423113053301, (C-35-11)27bbc- 1,37.73192088,-113.0855052
374423113053401, (C-35-11)21dbd- 2,37.7396985,-113.093561
374445111293501, (D-35- 4)20ccb- 1 formerly (D-35- 4)20dca- 1,37.74588889,-111.4939389
374445113444501, (C-35-17)22bcb- 2,37.7458039,-113.7466353
374502113064002, (C-35-11)17dcd- 2,37.7505316,-113.1116172
374503113313701, (C-35-15)16ddd- 1,37.75080625,-113.5277402
374504113140401, (C-35-12)18ddd- 4,37.7510861,-113.2352319
374505113363001, (C-35-16) 14dcc- 2,37.75136088,-113.6091314
374505113433701, (C-35-17)14ccc- 1,37.75135954,-113.7277459
374508113411002, (C-35-16)18cdc- 6,37.7521933,-113.6869114
374521113014801, (C-34-11) 9cdc- 1,37.85497409,-113.0985633
374545113035001, (C-35-11)14bac- 2,37.7624762,-113.0646716
374550113040601, (C-35-11)11ccc- 1,37.7649761,-113.0691163
374554113020801, (C-35-11)12dcd- 1,37.7649764,-113.0380042
374555113035201, (C-35-11)11ccd- 1,37.76525394,-113.0652273
374617113470601, (C-35-17) 7dad- 2,37.7713583,-113.7858033
374648113373101, (C-35-16) 3dcd- 1,37.7799712,-113.6260766
374649113310201, (C-35-15) 3dcc- 2,37.7802502,-113.5180183
374649113342501, (C-35-15) 6cdd- 1,37.78024957,-113.5744086
374649113444801, (C-35-17) 3ccc- 1,37.78024757,-113.7474687
374709111391201, (D-35- 3) 8dba- 1,37.78582174,-111.6540658
374744113055001, (C-35-11) 4aba- 1,37.794142,-113.0930064
374745113022901, (C-34-11)36dcc- 2,37.79580907,-113.0421716
374753113464601, (C-34-17)32cca- 1,37.7980245,-113.7802475
374808113420301, (C-34-17)36acc- 1,37.80219207,-113.7016342
374833113402401, (C-34-16)29ccc- 1,37.80913669,-113.6741336
374845112031001, (C-34- 2)30ccd- 1 formerly (C-34- 2)30ccc- 1,37.8124835,-112.0535266
374927113033401, (C-34-11)23bdd- 1,37.83136375,-113.0610617
374929113053301, (C-34-11)21dcd- 1,37.82469696,-113.0932848
375006112554801, (C-34-10)24abc- 1,37.8347222,-112.931111
375009113374501, (C-34-16)22bad- 1,37.8358033,-113.6299661
375019113192801, (C-34-13)16ccc- 1,37.8385838,-113.3252363
375024112542601, (C-34- 9)18ddc- 1,37.83997526,-112.9080018
375025113411101, (C-34-16)18cdc- 2,37.84024698,-113.6871896
375033112523401, (C-34- 9)16cdd- 2,37.83963889,-112.8765833
375033112561101, (C-34-10)13cbd- 2,37.84247518,-112.9371694
375050109034801, (D-34-26) 4dad- 1,37.84721398,-109.0639988
375112112551202, (C-34- 9) 7ccc- 3,37.8533083,-112.9207802
375127112530602, (C-34- 9) 8dad- 3,37.85666667,-112.8858333
375152112541001, (C-34- 9) 7aad- 1,37.86441925,-112.9035576
375153112500201, (C-34- 9)11aac- 1,37.86430556,-112.835
375206112513001, (C-34- 9) 3cdd- 1,37.8683081,-112.8591119
375233112475701, (C-34- 8) 6acd- 1,37.8758081,-112.7999436
375233113015501, (C-34-11) 1daa- 1,37.8758075,-113.0327283
375235112245501, (C-34- 5) 4ddd- 1,37.87636606,-112.4160409
375241112261201, (C-34- 5) 5dca- 1,37.8780323,-112.4374307
375241112471001, (C-34- 8) 5bca- 1,37.8780303,-112.7896655
375243109191301, (D-33-24)30dab- 1,37.87860509,-109.3209496
375245113290001, (C-34-15) 1bad- 1,37.87913749,-113.4841305
375303112495102, (C-33- 9)35ddd- 2,37.8825,-112.8319444
375303112512102, (C-33- 9)34dcd- 2,37.88414118,-112.856612
375324113345301, (C-33-15)31bcc- 1,37.88996947,-113.582188
375338111232301, (D-33- 5)31adc- 1,37.89387596,-111.3904474
375338112502801, (C-33- 9)35bac- 2,37.89353056,-112.842386
375341113072502, (C-33-11)31aad- 2,37.8946953,-113.1243982
375344112521601, (C-33- 9)33aba- 1,37.8974742,-112.8718904
375357111261701, (D-33- 4)35bbd- 1,37.89915358,-111.4387823
375402112455401, (C-33- 8)28cad- 1,37.90052996,-112.765776
375429113403901, (C-33-16)30aac- 1,37.9080234,-113.6783009
375440112500001, (C-33- 8)20cdd- 2,37.9118111,-112.7845889
375443112495501, (C-33- 9)23ddc- 1,37.9119185,-112.8327227
375452113445101, (C-33-17)21dda- 2,37.91441126,-113.7483019
375523112451902, (C-33- 8)22bbc- 2,37.9230296,-112.7560537
375531113361901, (C-33-16)23aab- 1,37.9252462,-113.6060777
375548112500401, (C-33- 9)14dbd- 2,37.9299737,-112.835223
375632112244901, (C-33- 5)16add- 3,37.94166667,-112.4141667
375732112245701, (C-33- 5) 9adb- 1,37.9588653,-112.4165969
375738113175602, (C-33-13) 3caa- 2,37.96052614,-113.2996827
375751112235101, (C-33- 5)10aba- 1,37.96414344,-112.3982629
375754113274501, (C-33-14) 6acb- 3,37.9649693,-113.4632983
375900112435900, (C-32- 8)26cdd- 1,37.985,-112.7283333
375915112442901, (C-32- 8)27dca- 1,37.987473,-112.7421649
375930112232401, (C-32- 5)35bab- 1,37.99080996,-112.3952074
375952113260601, (C-32-14)28bbb- 1,37.99774665,-113.4357982
380033112423101, (C-32- 8)24acb- 1,38.00913958,-112.7091082
380130112425201, (C-32- 8)13bca- 1,38.0249727,-112.7152196
380204113190301, (C-32-13) 9bdd- 1,38.0344135,-113.3182955
380415112412401, (C-31- 7)31abc- 1,38.07080565,-112.6907745
380711113204501, (C-31-13)18aaa- 1,38.1196894,-113.3466303
